,Unnamed: 0,source_com,target_com,weight,source_com1,target_com1,source_coords.x,source_coords.y,target_coords.x,target_coords.y
0,0,0,1,60046,com_0,com_1,-86.60484936237509,33.33476531826041,-85.63117027772833,31.020521293265027
1,1,0,2,6117,com_0,com_2,-86.60484936237509,33.33476531826041,-81.91424554804478,29.463138606523913
2,2,0,3,23221,com_0,com_3,-86.60484936237509,33.33476531826041,-89.59289648522596,33.45915993255201
3,3,0,4,4134,com_0,com_4,-86.60484936237509,33.33476531826041,-81.88356527854981,27.377035271016858
4,4,0,5,2373,com_0,com_5,-86.60484936237509,33.33476531826041,-81.7786036268383,31.993991018459905
5,5,0,6,1197,com_0,com_6,-86.60484936237509,33.33476531826041,-92.81020515225829,41.99595996517357
6,6,0,7,4388,com_0,com_7,-86.60484936237509,33.33476531826041,-91.97405423936371,31.051106829710776
7,7,0,8,4429,com_0,com_8,-86.60484936237509,33.33476531826041,-96.86415691411548,32.94546904617951
8,8,0,9,58649,com_0,com_9,-86.60484936237509,33.33476531826041,-83.95999437911323,33.59953977093332
9,9,0,10,3341,com_0,com_10,-86.60484936237509,33.33476531826041,-95.33127533271428,30.374056713813033
10,10,0,11,32763,com_0,com_11,-86.60484936237509,33.33476531826041,-85.08214025312468,36.05066406123335
11,11,0,12,802,com_0,com_12,-86.60484936237509,33.33476531826041,-74.03178845067046,41.49914209019406
12,12,0,13,6484,com_0,com_13,-86.60484936237509,33.33476531826041,-79.45910858641028,35.497362779882934
13,13,0,14,2160,com_0,com_14,-86.60484936237509,33.33476531826041,-76.22475778188281,40.347435074086825
14,14,0,15,1835,com_0,com_15,-86.60484936237509,33.33476531826041,-78.42020056916733,37.14895123871563
15,15,0,16,2454,com_0,com_16,-86.60484936237509,33.33476531826041,-78.0258537450609,38.73458645938501
16,16,0,17,5020,com_0,com_17,-86.60484936237509,33.33476531826041,-81.05166064045724,33.87886405093763
17,17,0,18,1111,com_0,com_18,-86.60484936237509,33.33476531826041,-111.4383588009521,33.821734631694355
18,18,0,19,387,com_0,com_19,-86.60484936237509,33.33476531826041,-115.79947294342408,37.018928603501095
19,19,0,20,1598,com_0,com_20,-86.60484936237509,33.33476531826041,-116.31820160147711,34.22101909893447
20,20,0,21,1053,com_0,com_21,-86.60484936237509,33.33476531826041,-119.55186185068834,39.88641273711685
21,21,0,22,2044,com_0,com_22,-86.60484936237509,33.33476531826041,-104.30232263284906,33.78376903187286
