,Unnamed: 0,source_com,target_com,weight,source_com1,target_com1,source_coords.x,source_coords.y,target_coords.x,target_coords.y
0,0,0,1,61464,com_0,com_1,-86.58804940270886,33.366340412313846,-89.39406828577785,33.15385554389867
1,1,0,2,41543,com_0,com_2,-86.58804940270886,33.366340412313846,-85.610455692746,30.86067543193312
2,2,0,3,13269,com_0,com_3,-86.58804940270886,33.366340412313846,-81.91884414891213,29.45685993432904
3,3,0,4,5066,com_0,com_4,-86.58804940270886,33.366340412313846,-81.87148929589517,27.35520361056036
4,4,0,5,101477,com_0,com_5,-86.58804940270886,33.366340412313846,-83.3835161270881,32.69906967971585
5,5,0,6,8510,com_0,com_6,-86.58804940270886,33.366340412313846,-91.6274340165397,30.42200217080272
6,6,0,7,1530,com_0,com_7,-86.58804940270886,33.366340412313846,-70.66255157908802,44.22912604887807
7,7,0,8,11514,com_0,com_8,-86.58804940270886,33.366340412313846,-79.5391323514052,35.54092169771488
8,8,0,9,1408,com_0,com_9,-86.58804940270886,33.366340412313846,-80.27076510659181,39.677702748269624
9,9,0,10,8208,com_0,com_10,-86.58804940270886,33.366340412313846,-81.06319662109169,33.798954454026436
10,10,0,11,59034,com_0,com_11,-86.58804940270886,33.366340412313846,-85.0624685509333,36.025163878822276
11,11,0,12,2367,com_0,com_12,-86.58804940270886,33.366340412313846,-117.55519953186001,35.132351056688414
12,12,0,13,2957,com_0,com_13,-86.58804940270886,33.366340412313846,-105.6406850248144,40.535273092595794
13,13,0,14,2078,com_0,com_14,-86.58804940270886,33.366340412313846,-96.89192756317038,41.7072198659208
14,14,0,15,3095,com_0,com_15,-86.58804940270886,33.366340412313846,-91.41937329549067,37.98509083246664
15,15,0,16,5694,com_0,com_16,-86.58804940270886,33.366340412313846,-97.48384501391307,33.07358958396025
16,16,0,17,2766,com_0,com_17,-86.58804940270886,33.366340412313846,-78.3553877257776,37.36864428591466
17,17,0,18,2834,com_0,com_18,-86.58804940270886,33.366340412313846,-92.56296766265467,35.101380889899374
18,18,0,19,1473,com_0,com_19,-86.58804940270886,33.366340412313846,-84.32265904184379,39.35197664228064
19,19,0,20,7671,com_0,com_20,-86.58804940270886,33.366340412313846,-85.69310179957603,37.64562565086446
20,20,0,21,4003,com_0,com_21,-86.58804940270886,33.366340412313846,-95.27407482710596,30.38337844048121
21,21,0,22,2423,com_0,com_22,-86.58804940270886,33.366340412313846,-82.61698868734625,40.55204325628143
22,22,0,23,2764,com_0,com_23,-86.58804940270886,33.366340412313846,-93.71680659956729,32.62307789703459
23,23,0,24,468,com_0,com_24,-86.58804940270886,33.366340412313846,-66.47673319332122,18.224188034615704
24,24,0,25,1973,com_0,com_25,-86.58804940270886,33.366340412313846,-111.99756753944472,33.986071812249556
25,25,0,26,486,com_0,com_26,-86.58804940270886,33.366340412313846,-116.40448734965742,33.01576966540528
26,26,0,27,1425,com_0,com_27,-86.58804940270886,33.366340412313846,-115.9440881297447,37.113399170083085
27,27,0,28,3808,com_0,com_28,-86.58804940270886,33.366340412313846,-77.80781598073303,39.04281347841894
28,28,0,29,3104,com_0,com_29,-86.58804940270886,33.366340412313846,-88.39109619262851,41.6266459080736
29,29,0,30,1724,com_0,com_30,-86.58804940270886,33.366340412313846,-97.48577850937971,38.69215127315235
30,30,0,31,1827,com_0,com_31,-86.58804940270886,33.366340412313846,-86.10280136434123,40.24110118086133
31,31,0,32,3081,com_0,com_32,-86.58804940270886,33.366340412313846,-98.51512239000601,29.157580319817452
32,32,0,33,1190,com_0,com_33,-86.58804940270886,33.366340412313846,-152.84624368488602,64.99361160375459
33,33,0,34,1638,com_0,com_34,-86.58804940270886,33.366340412313846,-119.54692484508303,39.88313156167599
34,34,0,35,214,com_0,com_35,-86.58804940270886,33.366340412313846,-119.6164699074085,36.006245805874734
35,35,0,36,4806,com_0,com_36,-86.58804940270886,33.366340412313846,-80.64645168723806,26.468021172857867
36,36,0,37,2440,com_0,com_37,-86.58804940270886,33.366340412313846,-104.42111509178925,33.813785557803726
37,37,0,38,3139,com_0,com_38,-86.58804940270886,33.366340412313846,-74.16180293031186,41.12093869935311
38,38,0,39,1481,com_0,com_39,-86.58804940270886,33.366340412313846,-97.38899175558062,35.54358941703781
39,39,0,40,315,com_0,com_40,-86.58804940270886,33.366340412313846,-121.0688863023366,44.04840687669466
